 "Ability (n.)","القدرة – الامكانية","Ability (n.)","Financial","verb","ar"
"About","of; concerning; in regard to;near; close to","","General","verb","en"
"About","عن – حوالى – بخصوص","About","General","verb","ar"
"Above","more than an amount or level","","General","verb","en"
"Above","أعلى","Above","General","verb","ar"
"Above- mentioned","used to refer to things or subjects perviously mentioned","","General","verb","en"
"Above- mentioned","المذكور أعلاه - المشار إليه أعلاه","Above- mentioned","General","verb","ar"
"Above par","A term used to describe the price of a security when it is trading above its face value. A security usually trades at above par when its income distributions are higher than those of other instruments currently available in the market.","","Financial","verb","en"
"Above par","أعلى من القيمة الاسمية","Above par","Financial","verb","ar"
"Abreast – to keep abreast (v.)","to make sure you know all the most recent facts about a subject or situation","","General","verb","en"
"Abreast – to keep abreast (v.)","متمشيا مع – على إطلاع ب","Abreast – to keep abreast (v.)","General","verb","ar"
"Abroad"," in or to a foreign country or countries","","financial ","verb","en"
"Abroad","بالخارج","Abroad","financial ","verb","ar"
"Absolute Acceptance","The total agreement in accepting a liability or a responsibility and consent.","","Financial","verb","en"
"Absolute Acceptance","القبول التام","Absolute Acceptance","Financial","verb","ar"
"Absolutely (adv.)"," used as a strong way of saying ""yes""","","Legal","verb","en"
"Absolutely (adv.)","تماما - حقا","Absolutely (adv.)","Legal","verb","ar"
"Abu-Dhabi Investment Authority (ADIA)","It is a sovereign wealth fund owned by Emirate of Abu Dhabi (in United Arab Emirates) founded for the purpose of investing funds on behalf of the Government of the Emirate of Abu Dhabi","","financial","verb","en"
"Abu-Dhabi Investment Authority (ADIA)","جهاز أبوظبى للاستثمار","Abu-Dhabi Investment Authority (ADIA)","financial","verb","ar"
"Abu-Dhabi Islamic Bank","It is an Islamic bank based in Abu Dhabi city, in the United Arab Emirates.","","financial","verb","en"
"Abu-Dhabi Islamic Bank","مصرف أبوظبى الاسلامى","Abu-Dhabi Islamic Bank","financial","verb","ar"
"Abu-Dhabi Securities  Exchange (ADX)","(ADX) was established on 15 November 2000 by Local Law No. (3) of 2000, the provisions of which vest the Market with a legal entity of autonomous status, independent finance and management, and give ADX the necessary supervisory and executive powers to exercise its functions. ","","financial","verb","en"
"Abu-Dhabi Securities  Exchange (ADX)","سوق أبوظبى للأوراق المالية","Abu-Dhabi Securities  Exchange (ADX)","financial","verb","ar"
