venue,area,morning,evening,description,address,cost,phone,lat,lon,facilities,court,court_time,court_sport,hostedBy
newVenue,Kaloor,15:30:00,15:30:00,description,address,10,123,1,1,Rest room,court1,03:45 PM-04:45 PM,Cricket,asd
venue1,kaloor,16:30:00,16:30:00,description,dfsfeswefswefswfswedfswefswfswfswfswfeswefrswefsw,10,123,1,24,Rest room,court2,03:45 PM-05:55 PM,cricket ,asd
venue2,kacheripady,17:30:00,17:30:00,description,dfsfeswefswefswfswedfswefswfswfswfswfeswefrswefsw,11,123,1,24,Rest room,court3,03:45 PM-05:55 PM,foot ball,asd
venue3,perumdurai,18:30:00,18:30:00,description,dfsfeswefswefswfswedfswefswfswfswfswfeswefrswefsw,12,123,1,24,Rest room ,court4,03:45 PM-04:45 PM,basketball,asd
venue4,coim3,19:30:00,19:30:00,description,dfsfeswefswefswfswedfswefswfswfswfswfeswefrswefsw,12,123,2,43,washroom ,court5,03:45 PM-04:45 PM,tennis,asd
venue5,coim2,20:30:00,20:30:00,description,dfsfeswefswefswfswedfswefswfswfswfswfeswefrswefsw,123,123,3,43,free wifi,court6,03:45 PM-04:45 PM,cricket ,asd
venue6,coim1,21:30:00,21:30:00,description,dfsfeswefswefswfswedfswefswfswfswfswfeswefrswefsw,23,123,4,54,Rest room,court7,03:45 PM-04:45 PM,foot ball,asd
venue7,kaloor,22:30:00,22:30:00,description,dfsfeswefswefswfswedfswefswfswfswfswfeswefrswefsw,23,123,5,5,Rest room,court8,03:45 PM-04:45 PM,basketball,asd
venue8,kacheripady,23:30:00,23:30:00,description,dfsfeswefswefswfswedfswefswfswfswfswfeswefrswefsw,23,123,5,4,Rest room ,court9,03:45 PM-04:45 PM,tennis,asd
venue9,perumdurai,0:30:00,22:30:00,description,dfsfeswefswefswfswedfswefswfswfswfswfeswefrswefsw,23,123,534,3,washroom ,court10,03:45 PM-04:45 PM,cricket ,asd
venue10,coim3,1:30:00,23:30:00,description,dfsfeswefswefswfswedfswefswfswfswfswfeswefrswefsw,21,123,34,3,free wifi,court11,03:45 PM-05:55 PM,foot ball,asd
venue11,coim2,2:30:00,0:30:00,description,dfsfeswefswefswfswedfswefswfswfswfswfeswefrswefsw,13,123,4,3,Rest room,court12,03:45 PM-05:55 PM,basketball,asd
venue12,coim1,3:30:00,1:30:00,description,dfsfeswefswefswfswedfswefswfswfswfswfeswefrswefsw,13,123,345,3,Rest room,court13,03:45 PM-05:55 PM,tennis,asd
venue13,kaloor,4:30:00,2:30:00,description,dfsfeswefswefswfswedfswefswfswfswfswfeswefrswefsw,2,123,543,3,Rest room ,court14,03:45 PM-05:55 PM,cricket ,asd
venue14,kacheripady,5:30:00,3:30:00,description,dfsfeswefswefswfswedfswefswfswfswfswfeswefrswefsw,21,123,5,3,washroom ,court15,03:45 PM-05:55 PM,foot ball,sdf
venue15,perumdurai,6:30:00,4:30:00,description,dfsfeswefswefswfswedfswefswfswfswfswfeswefrswefsw,42,123,5,43,free wifi,court16,03:45 PM-04:45 PM,basketball,dsf
venue16,coim3,7:30:00,5:30:00,description,dfsfeswefswefswfswedfswefswfswfswfswfeswefrswefsw,42,123,5,56,Rest room,court17,03:45 PM-04:45 PM,tennis,vdfghd
venue17,coim2,8:30:00,6:30:00,description,dfsfeswefswefswfswedfswefswfswfswfswfeswefrswefsw,42,123,5,3,Rest room,court18,03:45 PM-04:45 PM,tennis,xfg
venue18,coim1,9:30:00,7:30:00,description,dfsfeswefswefswfswedfswefswfswfswfswfeswefrswefsw,42,123,5,4,Rest room ,court19,03:45 PM-04:45 PM,tennis,xfg
venue19,kaloor,10:30:00,8:30:00,description,dfsfeswefswefswfswedfswefswfswfswfswfeswefrswefsw,42,123,5,623,washroom ,court20,03:45 PM-04:45 PM,cricket ,xfg
venue20,kacheripady,11:30:00,9:30:00,description,dfsfeswefswefswfswedfswefswfswfswfswfeswefrswefsw,42,123,5,56,free wifi,court21,03:45 PM-04:45 PM,foot ball,xfg
venue21,perumdurai,12:30:00,10:30:00,description,dfsfeswefswefswfswedfswefswfswfswfswfeswefrswefsw,42,123,5,3,Rest room,court22,03:45 PM-04:45 PM,basketball,xfg
venue22,coim3,13:30:00,11:30:00,description,dfsfeswefswefswfswedfswefswfswfswfswfeswefrswefsw,42,123,5,,Rest room,court23,03:45 PM-04:45 PM,tennis,xfg
venue23,coim2,14:30:00,12:30:00,description,dfsfeswefswefswfswedfswefswfswfswfswfeswefrswefsw,42,123,5,,Rest room ,court24,03:45 PM-04:45 PM,cricket ,xfg
venue24,coim1,15:30:00,13:30:00,description,dfsfeswefswefswfswedfswefswfswfswfswfeswefrswefsw,42,123,5,,washroom ,court25,03:45 PM-04:45 PM,foot ball,xfg
venue25,kaloor,16:30:00,14:30:00,description,dfsfeswefswefswfswedfswefswfswfswfswfeswefrswefsw,42,123,5,,free wifi,court26,03:45 PM-04:45 PM,basketball,xfg
venue26,kacheripady,17:30:00,15:30:00,description,dfsfeswefswefswfswedfswefswfswfswfswfeswefrswefsw,42,123,5,34,free wifi,court27,03:45 PM-04:45 PM,tennis,xfg
venue27,perumdurai,18:30:00,16:30:00,description,dfsfeswefswefswfswedfswefswfswfswfswfeswefrswefsw,32,123,5,35,Rest room,court28,03:45 PM-04:45 PM,cricket ,xfg
venue28,coim3,19:30:00,17:30:00,description,dfsfeswefswefswfswedfswefswfswfswfswfeswefrswefsw,24,123,5,,Rest room,court29,03:45 PM-05:55 PM,foot ball,xfg
venue29,coim2,20:30:00,18:30:00,description,dfsfeswefswefswfswedfswefswfswfswfswfeswefrswefsw,67,123,5,,Rest room ,court30,03:45 PM-05:55 PM,basketball,xfg
venue30,coim1,21:30:00,19:30:00,description,dfsfeswefswefswfswedfswefswfswfswfswfeswefrswefsw,46,123,5,,washroom ,court31,03:45 PM-05:55 PM,tennis,xfg
venue31,kaloor,22:30:00,20:30:00,description,dfsfeswefs,,123,345,,free wifi,court32,03:45 PM-05:55 PM,cricket ,xfg
venue32,kacheripady,23:30:00,21:30:00,description,dfsfeswefswefswfswedfswefswfswfswfswfeswefrswefsw,31,123,54,45,Rest room,court33,03:45 PM-05:55 PM,foot ball,xfg
venue33,perumdurai,0:30:00,22:30:00,description,dfsfeswefswefswfswedfswefswfswfswfswfeswefrswefsw,23,123,6,5,Rest room,court34,03:45 PM-05:55 PM,basketball,xfg
venue34,coim3,1:30:00,23:30:00,description,dfsfeswefswefswfswedfswefswfswfswfswfeswefrswefsw,23,123,62,5,Rest room ,court35,03:45 PM-05:55 PM,tennis,xfg
venue35,coim2,2:30:00,0:30:00,description,dfsfeswefswefswfswedfswefswfswfswfswfeswefrswefsw,23,123,5,5,washroom ,court36,03:45 PM-05:55 PM,tennis,xfg
venue36,coim1,3:30:00,1:30:00,description,dfsfeswefswefswfswedfswefswfswfswfswfeswefrswefsw,23,123,6,5,free wifi,court37,03:45 PM-05:55 PM,tennis,xfg
venue37,kaloor,4:30:00,2:30:00,description,dfsfeswefswefswfswedfswefswfswfswfswfeswefrswefsw,23,123,6,5,Rest room,court38,03:45 PM-05:55 PM,cricket ,xfg
venue38,kacheripady,5:30:00,3:30:00,description,dfsfeswefswefswfswedfswefswfswfswfswfeswefrswefsw,23,123,7,5,Rest room,court39,03:45 PM-05:55 PM,foot ball,xfg
venue39,perumdurai,6:30:00,4:30:00,description,dfsfeswefswefswfswedfswefswfswfswfswfeswefrswefsw,23,123,8,5,Rest room ,court40,03:45 PM-05:55 PM,basketball,xfg
venue40,coim3,7:30:00,5:30:00,description,dfsfeswefswefswfswedfswefswfswfswfswfeswefrswefsw,23,123,3,5,washroom ,court41,03:45 PM-05:55 PM,tennis,xfg
venue41,coim2,8:30:00,6:30:00,description,dfsfeswefswefswfswedfswefswfswfswfswfeswefrswefsw,23,123,3,5,free wifi,court42,03:45 PM-05:55 PM,cricket ,xfg
venue42,coim1,9:30:00,7:30:00,description,dfsfeswefswefswfswedfswefswfswfswfswfeswefrswefsw,23,123,3,5,Rest room,court43,03:45 PM-05:55 PM,foot ball,xfg
venue43,kaloor,10:30:00,8:30:00,description,dfsfeswefswefswfswedfswefswfswfswfswfeswefrswefsw,23,123,5,5,Rest room,court44,03:45 PM-05:55 PM,basketball,xfg
venue44,kacheripady,11:30:00,9:30:00,description,dfsfeswefswefswfswedfswefswfswfswfswfeswefrswefsw,23,123,4,5,Rest room ,court45,03:45 PM-05:55 PM,tennis,xfg
venue45,perumdurai,12:30:00,10:30:00,description,dfsfeswefswefswfswedfswefswfswfswfswfeswefrswefsw,23,123,6,5,washroom ,court46,03:45 PM-05:55 PM,cricket ,xfg
venue46,coim3,13:30:00,11:30:00,description,dfsfeswefswefswfswedfswefswfswfswfswfeswefrswefsw,23,123,78,5,free wifi,court47,03:45 PM-05:55 PM,foot ball,xfg
venue47,coim2,14:30:00,12:30:00,description,dfsfeswefswefswfswedfswefswfswfswfswfeswefrswefsw,23,123,8,5,Rest room,court48,03:45 PM-05:55 PM,basketball,xfg
venue48,coim1,15:30:00,13:30:00,description,dfsfeswefswefswfswedfswefswfswfswfswfeswefrswefsw,23,123,9,5,Rest room,court49,03:45 PM-05:55 PM,tennis,xfg
venue49,kaloor,16:30:00,14:30:00,description,dfsfeswefswefswfswedfswefswfswfswfswfeswefrswefsw,23,123,8,5,Rest room ,court50,03:45 PM-05:55 PM,cricket ,xfg
venue50,kacheripady,17:30:00,15:30:00,description,dfsfeswefswefswfswedfswefswfswfswfswfeswefrswefsw,23,123,76,5,washroom ,court51,03:45 PM-05:55 PM,foot ball,xfg
venue51,perumdurai,18:30:00,16:30:00,description,dfsfeswefswefswfswedfswefswfswfswfswfeswefrswefsw,23,123,6,5,free wifi,court52,03:45 PM-05:55 PM,basketball,xfg
venue52,coim3,19:30:00,17:30:00,description,dfsfeswefswefswfswedfswefswfswfswfswfeswefrswefsw,23,123,5,5,Rest room,court53,03:45 PM-05:55 PM,tennis,xfg
venue53,coim2,20:30:00,18:30:00,description,dfsfeswefswefswfswedfswefswfswfswfswfeswefrswefsw,23,123,8,5,Rest room,court54,03:45 PM-05:55 PM,tennis,xfg
venue54,coim1,21:30:00,19:30:00,description,dfsfeswefswefswfswedfswefswfswfswfswfeswefrswefsw,23,123,4,5,Rest room ,court55,03:45 PM-05:55 PM,tennis,xfg
